0,1,2,3,4,5
“Golden Greek” Jim Londos,NA,NA,NA,NA,NA
A-Kid,"5'8""",NA,NA,"Madrid, Spain",NXT UK Heritage Cup Champion
Abdullah the Butcher,6’0”,360,Running elbow drop; Karate Thrust,The Sudan,2011 WWE Hall of Fame Inductee
Adam Bomb,6’6”,290,The Meltdown,Three Mile Island,NA
Adam Cole,"6'0""",200,Last Shot; Panama Sunrise,"Panama City, Fla.",NXT Champion; North American Champion; NXT Tag Team Champion; 2019 NXT Overall Competitor of the Year; 2019 NXT Male Competitor of the Year; 2018 Dusty Rhodes Tag Team Classic Winner
Adam Pearce,6'2,241,Piledriver,"Chicago, Ill.",5x NWA Champion; NWA Hall of Fame; WWE Performance Center Coach
Adam Rose,6’1”,218,Party Foul,"Musha Cay, Bahamas",NA
Aiden English,6’3”,215,Director's Cut,Chicago,NXT Tag Team Champion
AJ Lee,5’2”,NA,Black Widow; Shining Wizard,"Union City, N.J.",Divas Champion; Raw General Manager; 2012 Diva of the Year; 2014 Diva of the Year
AJ Styles,5’11”,218,Phenomenal Forearm; Styles Clash; Calf Crusher,"Gainesville, GA ",WWE Champion; United States Champion; Intercontinental Champion; Raw Tag Team Champion
Akam,6’3”,290,Last Chapter,NA,Raw Tag Team Champion; NXT Tag Team Champion; 2016 Dusty Rhodes Tag Team Classic winner
Akeem,6’9”,450,747 Splash,"Halsted Street, Chicago",United States Champion
Akira Tozawa,5’7”,156,Top-rope Senton; Snap German Suplex,"Kobe, Japan",WWE Cruiserweight Champion; 24/7 Champion
Aksana,5’6”,NA,NA,"Alytus, Lithuania",NA
Alba Fyre,5’8”,NA,KLR Bomb,"Glasgow, Scotland",NXT UK Women's Champion
Alberto Del Rio,6’5”,239,Cross Armbreaker; Backstabber,"San Luis Potosi, Mexico",WWE Champion; World Heavyweight Champion; United States Champion; 2011 Royal Rumble Match winner; 2011 Raw Money in the Bank winner
Aleah James,"5'1""",NA,NA,NA,NA
Aleister Black,NA,215,Black Mass; Dark Ritual,"Amsterdam, Holland",NXT Champion; 2017 NXT Male Competitor of the Year; 2017 NXT Breakout Star of the Year; 2019 Dusty Rhodes Tag Team Classic winner
Alex Riley,6’3”,236,NA,"Washington, D.C. ",NA
Alexa Bliss,5’1”,NA,Twisted Bliss,"Columbus, Ohio",Raw Women's Champion; SmackDown Women's Champion; WWE Women's Tag Team Champion; 2018 Women's Money in the Bank Ladder Match winner
Alexander Wolfe,6’1”,245,NA,"Dresden, Germany",NXT Tag Team Champion
Alicia Fox,5’9”,NA,Scissor Kick,"Ponte Vedra Beach, Fla. ",Divas Champion
Alicia Taylor,NA,NA,NA,"Saginaw, Mich.",NA
Aliyah,5’3”,NA,NA,Toronto,WWE Women's Tag Team Champion
Alundra Blayze,5’10”,NA,Bridging German Suplex,"Tampa, Fla.",2015 WWE Hall of Fame inductee; Women's Champion; WCW Cruiserweight Champion; 24/7 Champion
Amale,"5'4""",NA,NA,NA,NA
Amari Miller,NA,NA,NA,Kansas City,NA
Amir Jordan,5’11”,185,Swanton Bomb,"Dewsbury, England",NA
Andrade,5’9”,210,Hammerlock DDT,"Gomez Palacio, Durango, Mexico",United States Champion; NXT Champion
Andre Chase,NA,NA,NA,NA,NA
Andre the Giant,7’4”,520,Sitdown Splash; Double Underhook Suplex,"Grenoble, France",WWE Champion; World Tag Team Champion; undefeated for nearly 15 years in WWE; 1993 WWE Hall of Fame Inductee
Andy Shepherd,NA,NA,NA,"Leicester, England",NA
